symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
BAJAJFINSV,Bajaj Finserv Limited,7(2),Kumud Neelima Family Trust,03-Oct-2025 20:20,1188875,,0,0,0,0,Equity Shares,862610,554079,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188875_1540930_03102025082010_WEB.xml,Promoter Group,Nil,0,1733716709,Equity Shares,862610,0.05,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Neelima Bajaj Family Trust,03-Oct-2025 20:20,1188875,,0,0,0,0,Equity Shares,3379240,554075,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188875_1540930_03102025082010_WEB.xml,Promoter Group,3379240,0.21,6791765514,Equity Shares,Nil,0,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Neelima Bajaj Family Trust,03-Oct-2025 20:20,1188875,,0,0,0,0,Equity Shares,3379240,554076,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188875_1540930_03102025082010_WEB.xml,Promoter Group,Nil,0,6791765514,Equity Shares,3379240,0.21,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Nimisha Bajaj Family Trust,03-Oct-2025 20:20,1188875,,0,0,0,0,Equity Shares,3553700,554077,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188875_1540930_03102025082010_WEB.xml,Promoter Group,Nil,0,7142403945,Equity Shares,3553700,0.22,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Nimisha Bajaj Family Trust,03-Oct-2025 20:20,1188875,,0,0,0,0,Equity Shares,3553700,554078,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188875_1540930_03102025082010_WEB.xml,Promoter Group,3553700,0.22,7142403945,Equity Shares,Nil,0,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Kumud Neelima Family Trust,03-Oct-2025 20:20,1188875,,0,0,0,0,Equity Shares,862610,554080,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188875_1540930_03102025082010_WEB.xml,Promoter Group,862610,0.05,1733716709,Equity Shares,Nil,0,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Kumud Nimisha Family Trust,03-Oct-2025 20:20,1188875,,0,0,0,0,Equity Shares,862610,554082,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188875_1540930_03102025082010_WEB.xml,Promoter Group,862610,0.05,1733716709,Equity Shares,Nil,0,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Kumud Nimisha Family Trust,03-Oct-2025 20:20,1188875,,0,0,0,0,Equity Shares,862610,554081,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188875_1540930_03102025082010_WEB.xml,Promoter Group,Nil,0,1733716709,Equity Shares,862610,0.05,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Nirav Trust,03-Jul-2025 18:18,1185094,,0,0,0,0,Equity Shares,46000,546548,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185094_1476953_03072025061835_WEB.xml,Promoter Group,Nil,0,94500100,Equity Shares,46000,0,30-Jun-2025,30-Jun-2025,02-Jul-2025,Off Market,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Nirav Trust,03-Jul-2025 18:18,1185094,,0,0,0,0,Equity Shares,46000,546547,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185094_1476953_03072025061835_WEB.xml,Promoter Group,46000,0,94500100,Equity Shares,Nil,0,30-Jun-2025,30-Jun-2025,02-Jul-2025,Off Market,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Kumud Bajaj,18-Jun-2025 19:28,1184018,,0,0,0,0,Equity Shares,500000,544340,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1184018_1468247_18062025072800_WEB.xml,Promoter Group,500000,0.03,1005450000,Equity Shares,1000000,0.06,13-Jun-2025,13-Jun-2025,17-Jun-2025,Others,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Late Madhur Bajaj,18-Jun-2025 19:28,1184018,,0,0,0,0,Equity Shares,500000,544341,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1184018_1468247_18062025072800_WEB.xml,Promoters,500000,0.03,1005450000,Equity Shares,Nil,0,13-Jun-2025,13-Jun-2025,17-Jun-2025,Others,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Bajaj Holdings & Investment Limited,10-Jun-2025 19:52,1183405,,0,0,0,0,Equity Shares,10400000,543246,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183405_1465275_10062025075242_WEB.xml,Promoters,623142140,38.99,19982035840,Equity Shares,612742140,38.34,06-Jun-2025,06-Jun-2025,09-Jun-2025,Market Sale,-,NSE,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Jamnalal Sons Private Limited,10-Jun-2025 19:52,1183405,,0,0,0,0,Equity Shares,18200000,543247,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1183405_1465275_10062025075242_WEB.xml,Promoter Group,154900840,9.69,35038640000,Equity Shares,136700840,8.56,06-Jun-2025,06-Jun-2025,09-Jun-2025,Market Sale,-,NSE,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Manish Kejriwal,28-Jan-2025 11:38,1176983,,0,0,0,0,Equity Shares,6739380,531770,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1176983_1362631_28012025113847_WEB.xml,Director,Nil,0,11749772061,Equity Shares,6739380,0.42,22-Jan-2025,22-Jan-2025,24-Jan-2025,Others,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Late Sunaina Kejriwal,28-Jan-2025 11:38,1176983,,0,0,0,0,Equity Shares,6739380,531771,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1176983_1362631_28012025113847_WEB.xml,Promoter Group,6739380,0.42,11749772061,Equity Shares,Nil,0,22-Jan-2025,22-Jan-2025,24-Jan-2025,Others,-,NA,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Bachhraj & Company Private Limited,04-Oct-2024 19:01,1172374,,0,0,0,0,Equity Shares,251000,522335,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172374_1259381_04102024070125_WEB.xml,Promoter Group,22063745,1.38,503255000,Equity Shares,22314745,1.4,27-Sep-2024,27-Sep-2024,03-Oct-2024,Market Purchase,-,NSE,-
BAJAJFINSV,Bajaj Finserv Limited,7(2),Neelima Bajaj Family Trust,04-Oct-2024 19:01,1172374,,0,0,0,0,Equity Shares,251000,522334,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1172374_1259381_04102024070125_WEB.xml,Promoter Group,3630240,0.23,503255000,Equity Shares,3379240,0.21,27-Sep-2024,27-Sep-2024,03-Oct-2024,Market Sale,-,NSE,-
