symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
BAJFINANCE,Bajaj Finance Limited,7(2),Madhur Bajaj (A/c Kumud Neelima Family Trust),03-Oct-2025 19:11,1188866,,0,0,0,0,Equity Shares,150000,554036,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188866_1540878_03102025071127_WEB.xml,Promoter Group,Nil,0,148800000,Equity Shares,150000,0,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Neelima Bajaj Family Trust,03-Oct-2025 19:11,1188866,,0,0,0,0,Equity Shares,610000,554031,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188866_1540878_03102025071127_WEB.xml,Promoter Group,610000,0.01,605120000,Equity Shares,Nil,0,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Neelima Bajaj Family Trust,03-Oct-2025 19:11,1188866,,0,0,0,0,Equity Shares,610000,554032,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188866_1540878_03102025071127_WEB.xml,Promoter Group,Nil,0,605120000,Equity Shares,610000,0.01,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Nimisha Bajaj Family Trust,03-Oct-2025 19:11,1188866,,0,0,0,0,Equity Shares,610000,554033,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188866_1540878_03102025071127_WEB.xml,Promoter Group,610000,0.01,605120000,Equity Shares,Nil,0,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Nimisha Bajaj Family Trust,03-Oct-2025 19:11,1188866,,0,0,0,0,Equity Shares,610000,554034,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188866_1540878_03102025071127_WEB.xml,Promoter Group,Nil,0,605120000,Equity Shares,610000,0.01,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Madhur Bajaj (A/c Kumud Neelima Family Trust),03-Oct-2025 19:11,1188866,,0,0,0,0,Equity Shares,150000,554035,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188866_1540878_03102025071127_WEB.xml,Promoter Group,150000,0,148800000,Equity Shares,Nil,0,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Madhur Bajaj (A/c Kumud Nimisha Family Trust),03-Oct-2025 19:11,1188866,,0,0,0,0,Equity Shares,150000,554038,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188866_1540878_03102025071127_WEB.xml,Promoter Group,Nil,0,148800000,Equity Shares,150000,0,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Madhur Bajaj (A/c Kumud Nimisha Family Trust),03-Oct-2025 19:11,1188866,,0,0,0,0,Equity Shares,150000,554037,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188866_1540878_03102025071127_WEB.xml,Promoter Group,150000,0,148800000,Equity Shares,Nil,0,29-Sep-2025,29-Sep-2025,01-Oct-2025,Off Market,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Bajaj Allianz General Insurance Co. Ltd.,30-Sep-2025 12:39,1188585,,0,0,0,0,Equity Shares,153000,552902,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188585_1537727_30092025123909_WEB.xml,Promoter Group,577000,0.01,151428484,Equity Shares,730000,0.01,29-Sep-2025,29-Sep-2025,29-Sep-2025,Market Purchase,-,NSE,-
BAJFINANCE,Bajaj Finance Limited,7(2),Bajaj Allianz General Insurance Co. Ltd.,26-Sep-2025 19:25,1188432,,0,0,0,0,Equity Shares,97000,552595,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188432_1534960_26092025072530_WEB.xml,Promoter Group,480000,0.01,100014655,Equity Shares,577000,0.01,24-Sep-2025,24-Sep-2025,24-Sep-2025,Market Purchase,-,NSE,-
