symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
HDFCBANK,HDFC Bank Limited,7(2),Vaishali Vyas,26-Mar-2025 11:48,1180875,,0,0,0,0,Equity Shares,110,538358,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180875_1401829_26032025114818_WEB.xml,Other,260,0,198000,Equity Shares,150,0,24-Mar-2025,24-Mar-2025,24-Mar-2025,Market Sale,-,NSE,-
HDFCBANK,HDFC Bank Limited,7(2),Lopa Ruparel,26-Mar-2025 11:48,1180875,,0,0,0,0,Equity Shares,2000,538356,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180875_1401829_26032025114818_WEB.xml,Other,128450,0,3593502,Equity Shares,126450,0,24-Mar-2025,24-Mar-2025,25-Mar-2025,Market Sale,-,NSE,-
HDFCBANK,HDFC Bank Limited,7(2),Lopa Ruparel,26-Mar-2025 11:48,1180875,,0,0,0,0,Equity Shares,2250,538357,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180875_1401829_26032025114818_WEB.xml,Other,126450,0,4042690,Equity Shares,124200,0,24-Mar-2025,24-Mar-2025,25-Mar-2025,Market Sale,-,NSE,-
HDFCBANK,HDFC Bank Limited,7(2),Anita Iyer,26-Mar-2025 11:48,1180875,,0,0,0,0,Equity Shares,1000,538355,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180875_1401829_26032025114818_WEB.xml,Other,7850,0,1785600,Equity Shares,6850,0,24-Mar-2025,24-Mar-2025,25-Mar-2025,Market Sale,-,NSE,-
HDFCBANK,HDFC Bank Limited,7(2),Lopa Ruparel,24-Mar-2025 20:21,1180719,,0,0,0,0,Equity Shares,2000,538065,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180719_1400686_24032025082102_WEB.xml,Other,131450,0,3510507,Equity Shares,129450,0,20-Mar-2025,20-Mar-2025,22-Mar-2025,Market Sale,-,NSE,-
HDFCBANK,HDFC Bank Limited,7(2),CHAKRAPANI VENKATACHARI,24-Mar-2025 20:21,1180719,,0,0,0,0,Equity Shares,15000,538064,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180719_1400686_24032025082102_WEB.xml,Other,92684,0,26372550,Equity Shares,77684,0,20-Mar-2025,20-Mar-2025,20-Mar-2025,Market Sale,-,NSE,-
HDFCBANK,HDFC Bank Limited,7(2),CHAKRAPANI VENKATACHARI,24-Mar-2025 20:21,1180719,,0,0,0,0,Equity Shares,17500,538068,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180719_1400686_24032025082102_WEB.xml,Other,77684,0,31467450,Equity Shares,60184,0,24-Mar-2025,24-Mar-2025,24-Mar-2025,Market Sale,-,NSE,-
HDFCBANK,HDFC Bank Limited,7(2),Lopa Ruparel,24-Mar-2025 20:21,1180719,,0,0,0,0,Equity Shares,1000,538066,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180719_1400686_24032025082102_WEB.xml,Other,129450,0,1766397,Equity Shares,128450,0,21-Mar-2025,21-Mar-2025,22-Mar-2025,Market Sale,-,NSE,-
HDFCBANK,HDFC Bank Limited,7(2),Vaishali Vyas,24-Mar-2025 20:21,1180719,,0,0,0,0,Equity Shares,50,538067,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180719_1400686_24032025082102_WEB.xml,Other,310,0,88600,Equity Shares,260,0,21-Mar-2025,21-Mar-2025,24-Mar-2025,Market Sale,-,NSE,-
HDFCBANK,HDFC Bank Limited,7(2),Chakrapani Venkatachari,20-Mar-2025 13:20,1180317,,0,0,0,0,Equity Shares,12500,537460,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180317_1398102_20032025011943_WEB.xml,Other,115184,0,21637500,Equity Shares,102684,0,18-Mar-2025,18-Mar-2025,18-Mar-2025,Market Sale,-,NSE,-
