symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Jyotsna Singh,02-Apr-2025 18:08,1181611,,0,0,0,0,Equity Shares,30,539610,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1181611_1407699_02042025060837_WEB.xml,-,130695,0,64482,Equity Shares,130665,0,28-Mar-2025,28-Mar-2025,01-Apr-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Puneet Kapoor,01-Apr-2025 18:20,1181544,,0,0,0,0,Equity Shares,2000,539494,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1181544_1407145_01042025062052_WEB.xml,-,27000,0,4332000,Equity Shares,25000,0,28-Mar-2025,28-Mar-2025,29-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Puneet Kapoor,26-Mar-2025 19:23,1180967,,0,0,0,0,Equity Shares,1154,538463,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180967_1402856_26032025072351_WEB.xml,-,28154,0,2512450,Equity Shares,27000,0,24-Mar-2025,25-Mar-2025,26-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Bhaskaran V,25-Mar-2025 18:53,1180834,,0,0,0,0,Equity Shares,1000,538229,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180834_1401559_25032025065355_WEB.xml,-,38000,0,2179000,Equity Shares,37000,0,24-Mar-2025,24-Mar-2025,24-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Venkattu Srinivasan,25-Mar-2025 18:53,1180834,,0,0,0,0,Equity Shares,10000,538228,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180834_1401559_25032025065355_WEB.xml,-,164867,0,20600000,Equity Shares,154867,0,22-Mar-2025,22-Mar-2025,23-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Venkattu Srinivasan,25-Mar-2025 18:53,1180834,,0,0,0,0,Equity Shares,13000,538230,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180834_1401559_25032025065355_WEB.xml,-,154867,0,27300000,Equity Shares,141867,0,24-Mar-2025,24-Mar-2025,25-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Bhaskaran V,21-Mar-2025 19:47,1180503,,0,0,0,0,Equity Shares,1000,537767,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180503_1399145_21032025074745_WEB.xml,-,39000,0,2071900,Equity Shares,38000,0,21-Mar-2025,21-Mar-2025,21-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Venkattu Srinivasan,20-Mar-2025 17:49,1180367,,0,0,0,0,Equity Shares,1000,537566,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180367_1398359_20032025054945_WEB.xml,-,165867,0,2042000,Equity Shares,164867,0,19-Mar-2025,19-Mar-2025,20-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Jyotsna Singh,20-Mar-2025 17:49,1180367,,0,0,0,0,Equity Shares,1000,537567,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180367_1398359_20032025054945_WEB.xml,-,132095,0,2009700,Equity Shares,131095,0,18-Mar-2025,18-Mar-2025,19-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Jyotsna Singh,20-Mar-2025 17:49,1180367,,0,0,0,0,Equity Shares,400,537568,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180367_1398359_20032025054945_WEB.xml,-,131095,0,818570,Equity Shares,130695,0,19-Mar-2025,19-Mar-2025,19-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Venkattu Srinivasan,18-Mar-2025 17:26,1180101,,0,0,0,0,Equity Shares,10000,537091,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180101_1397198_18032025052642_WEB.xml,-,175867,0,21000000,Equity Shares,165867,0,18-Mar-2025,18-Mar-2025,18-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Jyotsna Singh,18-Mar-2025 17:26,1180101,,0,0,0,0,Equity Shares,200,537089,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180101_1397198_18032025052642_WEB.xml,-,132295,0,397900,Equity Shares,132095,0,13-Mar-2025,13-Mar-2025,17-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Venkattu Srinivasan,18-Mar-2025 17:26,1180101,,0,0,0,0,Equity Shares,6000,537090,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1180101_1397198_18032025052642_WEB.xml,-,181867,0,11900000,Equity Shares,175867,0,17-Mar-2025,17-Mar-2025,17-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Venkattu Srinivasan,13-Mar-2025 19:33,1179883,,0,0,0,0,Equity Shares,5000,536711,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1179883_1396150_13032025073314_WEB.xml,-,186867,0.01,9892000,Equity Shares,181867,0.01,05-Mar-2025,12-Mar-2025,12-Mar-2025,Market Sale,-,NSE,-
KOTAKBANK,Kotak Mahindra Bank Limited,7(3),Bhaskaran V,07-Mar-2025 17:16,1179434,,0,0,0,0,Equity Shares,3000,535992,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1179434_1393786_07032025051620_WEB.xml,-,42000,0,5808000,Equity Shares,39000,0,07-Mar-2025,07-Mar-2025,07-Mar-2025,Market Sale,-,NSE,-
