symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
LT,Larsen & Toubro Limited,7(2),SEN DK,05-Jun-2024 18:48,1165119,,0,0,0,0,Equity Shares,1000,506676,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml,Employees/Designated Employees,41695,0,3242000,Equity Shares,42695,0,13-May-2024,13-May-2024,03-Jun-2024,Market Purchase,-,NSE,-
LT,Larsen & Toubro Limited,7(2),IMRANKHAN BABU MAZHAR ALIKHAN,05-Jun-2024 18:48,1165119,,0,0,0,0,Equity Shares,300,506675,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml,-,730,0,1170624,Equity Shares,430,0,03-Jun-2024,03-Jun-2024,03-Jun-2024,Market Sale,-,NSE,-
LT,Larsen & Toubro Limited,7(2),IMRANKHAN BABU MAZHAR ALIKHAN,05-Jun-2024 18:48,1165119,,0,0,0,0,Equity Shares,665,506674,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml,-,65,0,177622,Equity Shares,730,0,08-May-2024,08-May-2024,03-Jun-2024,ESOP,-,NA,-
LT,Larsen & Toubro Limited,7(2),SRAVANKUMAR Y V S,05-Jun-2024 18:48,1165119,,0,0,0,0,Equity Shares,100,506672,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml,Employees/Designated Employees,23746,0,357500,Equity Shares,23646,0,23-May-2024,23-May-2024,03-Jun-2024,Market Sale,-,NSE,-
LT,Larsen & Toubro Limited,7(2),SRAVANKUMAR Y V S,05-Jun-2024 18:48,1165119,,0,0,0,0,Equity Shares,100,506673,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml,Employees/Designated Employees,23646,0,387500,Equity Shares,23546,0,03-Jun-2024,03-Jun-2024,03-Jun-2024,Market Sale,-,NSE,-
LT,Larsen & Toubro Limited,7(2),SEN DK,05-Jun-2024 18:48,1165119,,0,0,0,0,Equity Shares,900,506677,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml,Employees/Designated Employees,42695,0,3037500,Equity Shares,43595,0,04-Jun-2024,04-Jun-2024,04-Jun-2024,Market Purchase,-,NSE,-
LT,Larsen & Toubro Limited,7(2),SRAVANKUMAR Y V S,05-Jun-2024 18:48,1165119,,0,0,0,0,Equity Shares,100,506671,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1165119_1153775_05062024064831_WEB.xml,Employees/Designated Employees,23846,0,355000,Equity Shares,23746,0,23-May-2024,23-May-2024,03-Jun-2024,Market Sale,-,NSE,-
LT,Larsen & Toubro Limited,7(2),VISHAL GUPTA,06-Apr-2024 17:17,1163581,,0,0,0,0,Equity Shares,100,503048,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163581_1082561_06042024051710_WEB.xml,Employees/Designated Employees,11212,0,339000,Equity Shares,11112,0,06-Dec-2023,06-Dec-2023,04-Apr-2024,Market Sale,-,NSE,-
LT,Larsen & Toubro Limited,7(2),VISHAL GUPTA,06-Apr-2024 17:17,1163581,,0,0,0,0,Equity Shares,100,503049,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163581_1082561_06042024051710_WEB.xml,Employees/Designated Employees,11112,0,339582,Equity Shares,11012,0,06-Dec-2023,06-Dec-2023,04-Apr-2024,Market Sale,-,NSE,-
LT,Larsen & Toubro Limited,7(2),VISHAL GUPTA,06-Apr-2024 17:17,1163581,,0,0,0,0,Equity Shares,100,503047,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1163581_1082561_06042024051710_WEB.xml,Employees/Designated Employees,11312,0,330000,Equity Shares,11212,0,04-Dec-2023,04-Dec-2023,04-Apr-2024,Market Sale,-,NSE,-
