symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),RAJDEEP SIKAND,22-Sep-2025 17:07,1188145,,0,0,0,0,Equity Shares,3060,552077,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188145_1530335_22092025050740_WEB.xml,Employees/Designated Employees,Nil,0,3281544,Equity Shares,3060,0,19-Sep-2025,19-Sep-2025,22-Sep-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),SIVAKUMAR SIVASANKARAN,22-Sep-2025 17:07,1188145,,0,0,0,0,Equity Shares,1000,552078,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188145_1530335_22092025050740_WEB.xml,Employees/Designated Employees,1410,0,1127820,Equity Shares,410,0,22-Sep-2025,22-Sep-2025,22-Sep-2025,Market Sale,-,NSE,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),KALYANARAMAN K,22-Sep-2025 17:07,1188145,,0,0,0,0,Equity Shares,1070,552079,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188145_1530335_22092025050740_WEB.xml,Employees/Designated Employees,4000,0,1159345,Equity Shares,5070,0,19-Sep-2025,19-Sep-2025,22-Sep-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Puneet Das,10-Sep-2025 18:08,1187472,,0,0,0,0,Equity Shares,3192,550835,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1187472_1525782_10092025060819_WEB.xml,Employees/Designated Employees,2680,0,3355430,Equity Shares,5872,0,10-Sep-2025,10-Sep-2025,10-Sep-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Smitha  Upadhyaya,08-Aug-2025 19:43,1185809,,0,0,0,0,Equity Shares,1007,547762,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185809_1507435_08082025074352_WEB.xml,Employees/Designated Employees,4321,0,1056343,Equity Shares,3314,0,07-Aug-2025,07-Aug-2025,07-Aug-2025,Market Sale,-,NSE,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Smitha  Upadhyaya,08-Aug-2025 19:43,1185809,,0,0,0,0,Equity Shares,3314,547763,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185809_1507435_08082025074352_WEB.xml,Employees/Designated Employees,3314,0,3463163,Equity Shares,Nil,0,07-Aug-2025,07-Aug-2025,07-Aug-2025,Market Sale,-,NSE,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),Sunil D'Souza,25-Jun-2025 18:02,1184479,,0,0,0,0,Equity Shares,22024,545336,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1184479_1471196_25062025060253_WEB.xml,Director,13280,0,24574379,Equity Shares,35304,0,24-Jun-2025,24-Jun-2025,24-Jun-2025,ESOP,-,NA,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),AJIT KRISHNAKUMAR,23-Jun-2025 18:21,1184322,,0,0,0,0,Equity Shares,4368,544946,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1184322_1469834_23062025062157_WEB.xml,Director,4368,0,4749457,Equity Shares,Nil,0,20-Jun-2025,20-Jun-2025,20-Jun-2025,Market Sale,-,NSE,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),NIDHI VERMA,19-Jun-2025 18:11,1184121,,0,0,0,0,Equity Shares,747,544553,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1184121_1468617_19062025061102_WEB.xml,Employees/Designated Employees,1480,0,804071,Equity Shares,733,0,13-Jun-2025,13-Jun-2025,18-Jun-2025,Market Sale,-,NSE,-
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,7(2),NIDHI VERMA,19-Jun-2025 18:11,1184121,,0,0,0,0,Equity Shares,733,544554,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1184121_1468617_19062025061102_WEB.xml,Employees/Designated Employees,733,0,788803,Equity Shares,Nil,0,16-Jun-2025,16-Jun-2025,18-Jun-2025,Market Sale,-,NSE,-
