symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
WIPRO,Wipro Limited,7(2),Satyaki Banerjee,27-Oct-2025 16:34,1189066,,0,0,0,0,ADR/GDR/FCCB,10000,554572,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189066_1557603_27102025043420_WEB.xml,Employees/Designated Employees,32876,0,2387571,ADR/GDR/FCCB,22876,0,22-Oct-2025,22-Oct-2025,24-Oct-2025,Market Sale,-,NA,-
WIPRO,Wipro Limited,7(2),Nikos Anerousis,24-Oct-2025 18:20,1189041,,0,0,0,0,ADR/GDR/FCCB,50292,554480,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189041_1556519_24102025062047_WEB.xml,Employees/Designated Employees,50292,0,11941232,ADR/GDR/FCCB,Nil,0,23-Oct-2025,23-Oct-2025,23-Oct-2025,Market Sale,-,NA,-
WIPRO,Wipro Limited,7(2),Sorabh Singhal,24-Oct-2025 18:20,1189041,,0,0,0,0,ADR/GDR/FCCB,10000,554479,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189041_1556519_24102025062047_WEB.xml,Employees/Designated Employees,10000,0,2391968,ADR/GDR/FCCB,Nil,0,23-Oct-2025,23-Oct-2025,24-Oct-2025,Market Sale,-,NA,-
WIPRO,Wipro Limited,7(2),Karan Singh,12-Sep-2025 16:16,1187614,,0,0,0,0,ADR/GDR/FCCB,20000,551084,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1187614_1526596_12092025041642_WEB.xml,Employees/Designated Employees,34362,0,4952344,ADR/GDR/FCCB,14362,0,10-Sep-2025,10-Sep-2025,11-Sep-2025,Market Sale,-,NA,-
WIPRO,Wipro Limited,7(2),Warren Zambelli,05-Sep-2025 16:41,1187226,,0,0,0,0,ADR/GDR/FCCB,13670,550379,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1187226_1523607_05092025044107_WEB.xml,Employees/Designated Employees,13670,0,3267877,ADR/GDR/FCCB,Nil,0,04-Sep-2025,04-Sep-2025,04-Sep-2025,Market Sale,-,NA,-
WIPRO,Wipro Limited,7(2),Benjamin Simon,04-Sep-2025 16:57,1187136,,0,0,0,0,ADR/GDR/FCCB,20000,550214,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1187136_1522871_04092025045725_WEB.xml,Employees/Designated Employees,34769,0,4897006,ADR/GDR/FCCB,14769,0,28-Aug-2025,28-Aug-2025,04-Sep-2025,Market Sale,-,NA,-
WIPRO,Wipro Limited,7(2),Bruno Schenk,11-Aug-2025 17:23,1185851,,0,0,0,0,ADR/GDR/FCCB,25554,547844,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185851_1508478_11082025052328_WEB.xml,Employees/Designated Employees,Nil,0,5960608,ADR/GDR/FCCB,25554,0,07-Aug-2025,07-Aug-2025,07-Aug-2025,ESOP,-,NA,-
WIPRO,Wipro Limited,7(2),Bruno Schenk,11-Aug-2025 17:23,1185851,,0,0,0,0,ADR/GDR/FCCB,1800,547845,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185851_1508478_11082025052328_WEB.xml,Employees/Designated Employees,25554,0,419860,ADR/GDR/FCCB,23754,0,07-Aug-2025,07-Aug-2025,07-Aug-2025,ESOP,-,NA,-
WIPRO,Wipro Limited,7(2),Srikant Godavarti,05-Aug-2025 16:07,1185651,,0,0,0,0,ADR/GDR/FCCB,30000,547451,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185651_1502692_05082025040712_WEB.xml,Employees/Designated Employees,54940,0,6973826,ADR/GDR/FCCB,24940,0,01-Aug-2025,01-Aug-2025,01-Aug-2025,Market Sale,-,NA,-
WIPRO,Wipro Limited,7(2),Caroline Monfrais,31-Jul-2025 17:50,1185567,,0,0,0,0,ADR/GDR/FCCB,16292,547259,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1185567_1499312_31072025055001_WEB.xml,Employees/Designated Employees,15963,0,3909958,ADR/GDR/FCCB,32255,0,30-Jul-2025,30-Jul-2025,30-Jul-2025,ESOP,-,NA,-
