symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
BHARTIARTL,Bharti Airtel Limited,7(2),BHARTI AIRTEL EMPLOYEES WELFARE TRUST,16-Dec-2024 18:47,1175280,,0,0,0,0,Equity Shares,189000,528726,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1175280_1327629_16122024064744_WEB.xml,Other,4254610,0.07,302397618,Equity Shares,4443610,0.07,12-Dec-2024,12-Dec-2024,16-Dec-2024,Market Purchase,-,NSE,-
BHARTIARTL,Bharti Airtel Limited,7(2),BHARTI AIRTEL EMPLOYEES WELFARE TRUST,16-Dec-2024 18:47,1175280,,0,0,0,0,Equity Shares,185229,528725,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1175280_1327629_16122024064744_WEB.xml,Other,4069381,0.07,293767910,Equity Shares,4254610,0.07,11-Dec-2024,11-Dec-2024,16-Dec-2024,Market Purchase,-,NSE,-
BHARTIARTL,Bharti Airtel Limited,7(2),BHARTI AIRTEL EMPLOYEES WELFARE TRUST,16-Dec-2024 18:47,1175280,,0,0,0,0,Equity Shares,377000,528724,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1175280_1327629_16122024064744_WEB.xml,Other,3692381,0.06,598595726,Equity Shares,4069381,0.07,10-Dec-2024,10-Dec-2024,12-Dec-2024,Market Purchase,-,NSE,-
BHARTIARTL,Bharti Airtel Limited,7(2),BHARTI AIRTEL EMPLOYEES WELFARE TRUST,16-Dec-2024 18:47,1175280,,0,0,0,0,Equity Shares,142700,528727,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1175280_1327629_16122024064744_WEB.xml,Other,4443610,0.07,240199364,Equity Shares,4586310,0.08,13-Dec-2024,13-Dec-2024,16-Dec-2024,Market Purchase,-,NSE,-
BHARTIARTL,Bharti Airtel Limited,7(2),BHARTI AIRTEL EMPLOYEES WELFARE TRUST,02-Sep-2024 21:11,1169853,,0,0,0,0,Equity Shares,192500,516623,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169853_1236661_02092024091144_WEB.xml,Other,4159607,0.07,306955272,Equity Shares,4352107,0.07,30-Aug-2024,30-Aug-2024,02-Sep-2024,Market Purchase,-,NSE,-
BHARTIARTL,Bharti Airtel Limited,7(2),BHARTI AIRTEL EMPLOYEES WELFARE TRUST,02-Sep-2024 21:11,1169853,,0,0,0,0,Equity Shares,193300,516622,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169853_1236661_02092024091144_WEB.xml,Other,3966307,0.07,300902646,Equity Shares,4159607,0.07,29-Aug-2024,29-Aug-2024,30-Aug-2024,Market Purchase,-,NSE,-
BHARTIARTL,Bharti Airtel Limited,7(2),BHARTI AIRTEL EMPLOYEES WELFARE TRUST,02-Sep-2024 21:11,1169853,,0,0,0,0,Equity Shares,40000,516620,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169853_1236661_02092024091144_WEB.xml,Other,3539778,0.06,60434779,Equity Shares,3579778,0.06,27-Aug-2024,27-Aug-2024,29-Aug-2024,Market Purchase,-,NSE,-
BHARTIARTL,Bharti Airtel Limited,7(2),BHARTI AIRTEL EMPLOYEES WELFARE TRUST,02-Sep-2024 21:11,1169853,,0,0,0,0,Equity Shares,386529,516621,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169853_1236661_02092024091144_WEB.xml,Other,3579778,0.06,601710899,Equity Shares,3966307,0.07,28-Aug-2024,28-Aug-2024,29-Aug-2024,Market Purchase,-,NSE,-
BHARTIARTL,Bharti Airtel Limited,7(2),BHARTI AIRTEL EMPLOYEES WELFARE TRUST,27-Aug-2024 20:40,1169400,,0,0,0,0,Equity Shares,100000,515578,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169400_1233062_27082024084001_WEB.xml,Other,3327179,0.06,147507450,Equity Shares,3427179,0.06,22-Aug-2024,22-Aug-2024,26-Aug-2024,Market Purchase,-,NSE,-
BHARTIARTL,Bharti Airtel Limited,7(2),BHARTI AIRTEL EMPLOYEES WELFARE TRUST,27-Aug-2024 20:40,1169400,,0,0,0,0,Equity Shares,232725,515580,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1169400_1233062_27082024084001_WEB.xml,Other,3444369,0.06,352914413,Equity Shares,3677094,0.06,26-Aug-2024,26-Aug-2024,27-Aug-2024,Market Purchase,-,NSE,-
