symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
HCLTECH,HCL Technologies Limited,7(2),PIYUSH SAXENA,30-Oct-2025 18:54,1189138,,0,0,0,0,Equity Shares,950,554703,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189138_1561906_30102025065418_WEB.xml,-,3133,0.0,1461100,Equity Shares,2183,0.0,29-Oct-2025,29-Oct-2025,30-Oct-2025,Market Sale,-,BSE,-
HCLTECH,HCL Technologies Limited,7(2),Pawan Kumar Danwar,30-Oct-2025 18:49,1189136,,0,0,0,0,Equity Shares,1000,554701,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189136_1561880_30102025064908_WEB.xml,-,4000,0.0,1545000,Equity Shares,3000,0.0,27-Oct-2025,27-Oct-2025,29-Oct-2025,Market Sale,-,NSE,-
HCLTECH,HCL Technologies Limited,7(2),Pawan Kumar Danwar,28-Oct-2025 15:54,1189090,,0,0,0,0,Equity Shares,1000,554604,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189090_1558618_28102025035455_WEB.xml,-,5000,0.0,1535000,Equity Shares,4000,0.0,23-Oct-2025,23-Oct-2025,27-Oct-2025,Market Sale,-,NSE,-
HCLTECH,HCL Technologies Limited,7(2),Ajit Krishnankutty Kumar,28-Oct-2025 15:54,1189090,,0,0,0,0,Equity Shares,5000,554602,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189090_1558618_28102025035455_WEB.xml,-,25135,0.0,7630000,Equity Shares,20135,0.0,24-Oct-2025,24-Oct-2025,27-Oct-2025,Market Sale,-,NSE,-
HCLTECH,HCL Technologies Limited,7(2),Ajit Krishnankutty Kumar,28-Oct-2025 15:54,1189090,,0,0,0,0,Equity Shares,5000,554603,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189090_1558618_28102025035455_WEB.xml,-,20135,0.0,7666800,Equity Shares,15135,0.0,27-Oct-2025,27-Oct-2025,28-Oct-2025,Market Sale,-,NSE,-
HCLTECH,HCL Technologies Limited,7(2),Srivatchan.Rajaraman,27-Oct-2025 19:55,1189081,,0,0,0,0,Equity Shares,29236,554589,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189081_1558073_27102025075527_WEB.xml,-,39236,0.0,43854585,Equity Shares,10000,0.0,20-Oct-2025,21-Oct-2025,23-Oct-2025,Market Sale,-,NSE,-
HCLTECH,HCL Technologies Limited,7(2),Ashish Kumar Gupta,22-Oct-2025 15:56,1189020,,0,0,0,0,Equity Shares,11903,554442,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml,-,94527,0.0,17853310,Equity Shares,106430,0.0,16-Oct-2025,16-Oct-2025,20-Oct-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),Priyadarshi Ashok Das,22-Oct-2025 15:56,1189020,,0,0,0,0,Equity Shares,3319,554446,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml,-,67571,0.0,4978168,Equity Shares,70890,0.0,16-Oct-2025,16-Oct-2025,20-Oct-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),Niraj Kumar Nirbhay Narayan Das,22-Oct-2025 15:56,1189020,,0,0,0,0,Equity Shares,4948,554445,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml,-,8868,0.0,7421505,Equity Shares,13816,0.0,16-Oct-2025,16-Oct-2025,20-Oct-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),HCL Technologies Stock Options Trust,22-Oct-2025 15:56,1189020,,0,0,0,0,Equity Shares,26754,554441,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml,-,8133888,0.3,40128325,Equity Shares,8107134,0.3,16-Oct-2025,16-Oct-2025,20-Oct-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),Manish Anand,22-Oct-2025 15:56,1189020,,0,0,0,0,Equity Shares,1987,554444,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml,-,39773,0.0,2980301,Equity Shares,41760,0.0,16-Oct-2025,16-Oct-2025,20-Oct-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),Kevin Mcgee,22-Oct-2025 15:56,1189020,,0,0,0,0,Equity Shares,3650,554443,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1189020_1555297_22102025035646_WEB.xml,-,Nil,0.0,5474635,Equity Shares,3650,0.0,16-Oct-2025,16-Oct-2025,20-Oct-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),HCL Technologies Stock Options Trust,17-Oct-2025 17:59,1188999,,0,0,0,0,Equity Shares,10598,554406,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188999_1552376_17102025055906_WEB.xml,-,8144486,0.3,15874744,Equity Shares,8133888,0.3,15-Oct-2025,15-Oct-2025,17-Oct-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),HCL Technologies Stock Options Trust,15-Oct-2025 17:08,1188975,,0,0,0,0,Equity Shares,3947,554293,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188975_1549103_15102025050814_WEB.xml,-,8148433,0.3,5881030,Equity Shares,8144486,0.3,13-Oct-2025,13-Oct-2025,15-Oct-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),HCL Technologies Stock Options Trust,13-Oct-2025 18:38,1188961,,0,0,0,0,Equity Shares,2621,554265,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188961_1546619_13102025063805_WEB.xml,-,8151054,0.3,3808837,Equity Shares,8148433,0.3,09-Oct-2025,09-Oct-2025,10-Oct-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),HCL Technologies Stock Options Trust,13-Oct-2025 18:38,1188961,,0,0,0,0,Equity Shares,3753,554264,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188961_1546619_13102025063805_WEB.xml,-,8154807,0.3,5336766,Equity Shares,8151054,0.3,07-Oct-2025,07-Oct-2025,09-Oct-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),HCL Technologies Stock Options Trust,03-Oct-2025 19:50,1188872,,0,0,0,0,Equity Shares,14936,554055,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188872_1540917_03102025075000_WEB.xml,-,8169743,0.3,21209120,Equity Shares,8154807,0.3,26-Sep-2025,26-Sep-2025,30-Sep-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),Ramachandran Sundararajan,03-Oct-2025 19:50,1188872,,0,0,0,0,Equity Shares,11617,554056,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188872_1540917_03102025075000_WEB.xml,-,38678,0.0,16496140,Equity Shares,50295,0.0,26-Sep-2025,26-Sep-2025,30-Sep-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),Anand Swamy,03-Oct-2025 19:50,1188872,,0,0,0,0,Equity Shares,9741,554057,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188872_1540917_03102025075000_WEB.xml,-,9741,0.0,13950184,Equity Shares,Nil,0.0,22-Sep-2025,22-Sep-2025,30-Sep-2025,Market Sale,-,NSE,-
HCLTECH,HCL Technologies Limited,7(2),Anand Swamy,03-Oct-2025 19:50,1188872,,0,0,0,0,Equity Shares,3319,554058,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188872_1540917_03102025075000_WEB.xml,-,Nil,0.0,4712980,Equity Shares,3319,0.0,26-Sep-2025,26-Sep-2025,30-Sep-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),Jill Ann Kouri,01-Oct-2025 19:50,1188793,,0,0,0,0,Equity Shares,4149,553896,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188793_1540198_01102025075009_WEB.xml,-,Nil,0.0,5975390,Equity Shares,4149,0.0,25-Sep-2025,25-Sep-2025,29-Sep-2025,ESOP,-,,-
HCLTECH,HCL Technologies Limited,7(2),Sudip Kumar Lahiri,01-Oct-2025 19:50,1188793,,0,0,0,0,Equity Shares,4408,553899,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188793_1540198_01102025075009_WEB.xml,-,22404,0.0,6348402,Equity Shares,26812,0.0,25-Sep-2025,25-Sep-2025,29-Sep-2025,ESOP,-,,-
