symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
INFY,Infosys Limited,7(2),Infosys Employee Benefits Trust,26-Sep-2025 17:40,1188416,,0,0,0,0,Equity Shares,2709,552570,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188416_1534326_26092025054028_WEB.xml,Other,9094112,0.22,4048871,Equity Shares,9091403,0.22,24-Sep-2025,24-Sep-2025,25-Sep-2025,Off Market,-,,-
INFY,Infosys Limited,7(2),Anand Swaminathan,23-Sep-2025 16:03,1188206,,0,0,0,0,ADR/GDR/FCCB,3050,552162,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188206_1530796_23092025040304_WEB.xml,-,160975,0.0,4610629,ADR/GDR/FCCB,164025,0.0,22-Sep-2025,22-Sep-2025,22-Sep-2025,ESOP,-,,-
INFY,Infosys Limited,7(2),Komal Kumar Jain,23-Sep-2025 16:03,1188206,,0,0,0,0,ADR/GDR/FCCB,1678,552163,Buy,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1188206_1530796_23092025040304_WEB.xml,-,24952,0.0,2536602,ADR/GDR/FCCB,26630,0.0,22-Sep-2025,22-Sep-2025,22-Sep-2025,ESOP,-,,-
INFY,Infosys Limited,7(2),Infosys Employee Benefits Trust,15-Sep-2025 15:32,1187713,,0,0,0,0,Equity Shares,423,551217,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1187713_1527226_15092025033237_WEB.xml,Other,9094535,0.22,638603,Equity Shares,9094112,0.22,11-Sep-2025,11-Sep-2025,12-Sep-2025,Off Market,-,,-
INFY,Infosys Limited,7(2),Rakesh Babu Gollapalli,08-Sep-2025 15:32,1187325,,0,0,0,0,ADR/GDR/FCCB,517,550554,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1187325_1524773_08092025033221_WEB.xml,-,517,0.0,750256,ADR/GDR/FCCB,Nil,0.0,04-Sep-2025,04-Sep-2025,04-Sep-2025,Market Sale,-,,-
INFY,Infosys Limited,7(2),-,01-Sep-2025 19:19,1186917,,0,0,0,0,ADR/GDR/FCCB,4400,549857,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1186917_1520957_01092025071924_WEB.xml,Employees/Designated Employees,13861,0.0,6525834,ADR/GDR/FCCB,9461,0.0,28-Aug-2025,28-Aug-2025,28-Aug-2025,Market Sale,-,,-
INFY,Infosys Limited,7(2),Rakesh Babu Gollapalli,28-Aug-2025 18:21,1186745,,0,0,0,0,ADR/GDR/FCCB,2354,549552,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1186745_1518800_28082025062101_WEB.xml,-,2354,0.0,3534001,ADR/GDR/FCCB,Nil,0.0,22-Aug-2025,22-Aug-2025,22-Aug-2025,Market Sale,-,,-
INFY,Infosys Limited,7(2),Infosys Employee Benefits Trust,26-Aug-2025 17:33,1186666,,0,0,0,0,,2245,549431,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1186666_1517797_26082025053322_WEB.xml,Other,9096780,0.22,3359418,-,9094535,0.22,21-Aug-2025,21-Aug-2025,22-Aug-2025,Off Market,-,,-
INFY,Infosys Limited,7(2),Umashankar Lakshmipathy,21-Aug-2025 16:20,1186363,,0,0,0,0,ADR/GDR/FCCB,500,548870,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1186363_1515716_21082025042004_WEB.xml,-,1797,0.0,724523,ADR/GDR/FCCB,1297,0.0,19-Aug-2025,19-Aug-2025,19-Aug-2025,Market Sale,-,,-
INFY,Infosys Limited,7(2),Infosys Employee Benefits Trust,21-Aug-2025 16:20,1186363,,0,0,0,0,,1370,548871,Sell,-,https://nsearchives.nseindia.com/corporate/xbrl/IT_1186363_1515716_21082025042004_WEB.xml,Other,9098150,0.22,2027764,-,9096780,0.22,20-Aug-2025,20-Aug-2025,21-Aug-2025,Market Sale,-,NSE,-
